StateFIPS,State,County,Year,Value,State_County_Year
46,South Dakota,Aurora,2018,"53,107",southdakotaaurora2018
46,South Dakota,Aurora,2019,"56,360",southdakotaaurora2019
46,South Dakota,Aurora,2020,"54,916",southdakotaaurora2020
46,South Dakota,Beadle,2018,"49,712",southdakotabeadle2018
46,South Dakota,Beadle,2019,"51,844",southdakotabeadle2019
46,South Dakota,Beadle,2020,"54,033",southdakotabeadle2020
46,South Dakota,Bennett,2018,"37,071",southdakotabennett2018
46,South Dakota,Bennett,2019,"36,345",southdakotabennett2019
46,South Dakota,Bennett,2020,"45,478",southdakotabennett2020
46,South Dakota,Bon Homme,2018,"50,278",southdakotabonhomme2018
46,South Dakota,Bon Homme,2019,"52,660",southdakotabonhomme2019
46,South Dakota,Bon Homme,2020,"52,890",southdakotabonhomme2020
46,South Dakota,Brookings,2018,"62,109",southdakotabrookings2018
46,South Dakota,Brookings,2019,"59,036",southdakotabrookings2019
46,South Dakota,Brookings,2020,"64,542",southdakotabrookings2020
46,South Dakota,Brown,2018,"60,082",southdakotabrown2018
46,South Dakota,Brown,2019,"61,447",southdakotabrown2019
46,South Dakota,Brown,2020,"64,993",southdakotabrown2020
46,South Dakota,Brule,2018,"49,732",southdakotabrule2018
46,South Dakota,Brule,2019,"65,008",southdakotabrule2019
46,South Dakota,Brule,2020,"56,691",southdakotabrule2020
46,South Dakota,Buffalo,2018,"25,973",southdakotabuffalo2018
46,South Dakota,Buffalo,2019,"26,671",southdakotabuffalo2019
46,South Dakota,Buffalo,2020,"22,901",southdakotabuffalo2020
46,South Dakota,Butte,2018,"44,388",southdakotabutte2018
46,South Dakota,Butte,2019,"50,105",southdakotabutte2019
46,South Dakota,Butte,2020,"52,346",southdakotabutte2020
46,South Dakota,Campbell,2018,"45,737",southdakotacampbell2018
46,South Dakota,Campbell,2019,"56,043",southdakotacampbell2019
46,South Dakota,Campbell,2020,"52,931",southdakotacampbell2020
46,South Dakota,Charles Mix,2018,"47,412",southdakotacharlesmix2018
46,South Dakota,Charles Mix,2019,"51,340",southdakotacharlesmix2019
46,South Dakota,Charles Mix,2020,"44,865",southdakotacharlesmix2020
46,South Dakota,Clark,2018,"48,517",southdakotaclark2018
46,South Dakota,Clark,2019,"54,158",southdakotaclark2019
46,South Dakota,Clark,2020,"54,164",southdakotaclark2020
46,South Dakota,Clay,2018,"46,378",southdakotaclay2018
46,South Dakota,Clay,2019,"51,039",southdakotaclay2019
46,South Dakota,Clay,2020,"49,834",southdakotaclay2020
46,South Dakota,Codington,2018,"55,580",southdakotacodington2018
46,South Dakota,Codington,2019,"63,442",southdakotacodington2019
46,South Dakota,Codington,2020,"62,123",southdakotacodington2020
46,South Dakota,Corson,2018,"34,024",southdakotacorson2018
46,South Dakota,Corson,2019,"32,848",southdakotacorson2019
46,South Dakota,Corson,2020,"29,860",southdakotacorson2020
46,South Dakota,Custer,2018,"58,806",southdakotacuster2018
46,South Dakota,Custer,2019,"63,665",southdakotacuster2019
46,South Dakota,Custer,2020,"66,654",southdakotacuster2020
46,South Dakota,Davison,2018,"51,724",southdakotadavison2018
46,South Dakota,Davison,2019,"57,367",southdakotadavison2019
46,South Dakota,Davison,2020,"53,664",southdakotadavison2020
46,South Dakota,Day,2018,"48,023",southdakotaday2018
46,South Dakota,Day,2019,"51,516",southdakotaday2019
46,South Dakota,Day,2020,"50,445",southdakotaday2020
46,South Dakota,Deuel,2018,"55,404",southdakotadeuel2018
46,South Dakota,Deuel,2019,"65,217",southdakotadeuel2019
46,South Dakota,Deuel,2020,"58,488",southdakotadeuel2020
46,South Dakota,Dewey,2018,"41,942",southdakotadewey2018
46,South Dakota,Dewey,2019,"47,640",southdakotadewey2019
46,South Dakota,Dewey,2020,"40,429",southdakotadewey2020
46,South Dakota,Douglas,2018,"55,159",southdakotadouglas2018
46,South Dakota,Douglas,2019,"56,030",southdakotadouglas2019
46,South Dakota,Douglas,2020,"59,404",southdakotadouglas2020
46,South Dakota,Edmunds,2018,"58,977",southdakotaedmunds2018
46,South Dakota,Edmunds,2019,"59,905",southdakotaedmunds2019
46,South Dakota,Edmunds,2020,"56,671",southdakotaedmunds2020
46,South Dakota,Fall River,2018,"46,782",southdakotafallriver2018
46,South Dakota,Fall River,2019,"49,965",southdakotafallriver2019
46,South Dakota,Fall River,2020,"48,927",southdakotafallriver2020
46,South Dakota,Faulk,2018,"49,068",southdakotafaulk2018
46,South Dakota,Faulk,2019,"49,198",southdakotafaulk2019
46,South Dakota,Faulk,2020,"50,213",southdakotafaulk2020
46,South Dakota,Grant,2018,"59,813",southdakotagrant2018
46,South Dakota,Grant,2019,"60,057",southdakotagrant2019
46,South Dakota,Grant,2020,"59,637",southdakotagrant2020
46,South Dakota,Gregory,2018,"40,583",southdakotagregory2018
46,South Dakota,Gregory,2019,"42,868",southdakotagregory2019
46,South Dakota,Gregory,2020,"43,060",southdakotagregory2020
46,South Dakota,Haakon,2018,"51,801",southdakotahaakon2018
46,South Dakota,Haakon,2019,"50,747",southdakotahaakon2019
46,South Dakota,Haakon,2020,"50,898",southdakotahaakon2020
46,South Dakota,Hamlin,2018,"65,776",southdakotahamlin2018
46,South Dakota,Hamlin,2019,"60,864",southdakotahamlin2019
46,South Dakota,Hamlin,2020,"62,651",southdakotahamlin2020
46,South Dakota,Hand,2018,"52,568",southdakotahand2018
46,South Dakota,Hand,2019,"56,239",southdakotahand2019
46,South Dakota,Hand,2020,"59,237",southdakotahand2020
46,South Dakota,Hanson,2018,"63,772",southdakotahanson2018
46,South Dakota,Hanson,2019,"78,478",southdakotahanson2019
46,South Dakota,Hanson,2020,"62,597",southdakotahanson2020
46,South Dakota,Harding,2018,"55,017",southdakotaharding2018
46,South Dakota,Harding,2019,"55,482",southdakotaharding2019
46,South Dakota,Harding,2020,"58,732",southdakotaharding2020
46,South Dakota,Hughes,2018,"70,093",southdakotahughes2018
46,South Dakota,Hughes,2019,"66,952",southdakotahughes2019
46,South Dakota,Hughes,2020,"70,615",southdakotahughes2020
46,South Dakota,Hutchinson,2018,"54,434",southdakotahutchinson2018
46,South Dakota,Hutchinson,2019,"59,336",southdakotahutchinson2019
46,South Dakota,Hutchinson,2020,"54,669",southdakotahutchinson2020
46,South Dakota,Hyde,2018,"52,496",southdakotahyde2018
46,South Dakota,Hyde,2019,"63,454",southdakotahyde2019
46,South Dakota,Hyde,2020,"55,510",southdakotahyde2020
46,South Dakota,Jackson,2018,"34,122",southdakotajackson2018
46,South Dakota,Jackson,2019,"37,879",southdakotajackson2019
46,South Dakota,Jackson,2020,"36,853",southdakotajackson2020
46,South Dakota,Jerauld,2018,"47,689",southdakotajerauld2018
46,South Dakota,Jerauld,2019,"52,162",southdakotajerauld2019
46,South Dakota,Jerauld,2020,"49,086",southdakotajerauld2020
46,South Dakota,Jones,2018,"49,609",southdakotajones2018
46,South Dakota,Jones,2019,"52,650",southdakotajones2019
46,South Dakota,Jones,2020,"49,156",southdakotajones2020
46,South Dakota,Kingsbury,2018,"54,609",southdakotakingsbury2018
46,South Dakota,Kingsbury,2019,"61,992",southdakotakingsbury2019
46,South Dakota,Kingsbury,2020,"56,758",southdakotakingsbury2020
46,South Dakota,Lake,2018,"60,733",southdakotalake2018
46,South Dakota,Lake,2019,"63,946",southdakotalake2019
46,South Dakota,Lake,2020,"65,643",southdakotalake2020
46,South Dakota,Lawrence,2018,"51,774",southdakotalawrence2018
46,South Dakota,Lawrence,2019,"53,902",southdakotalawrence2019
46,South Dakota,Lawrence,2020,"56,366",southdakotalawrence2020
46,South Dakota,Lincoln,2018,"84,889",southdakotalincoln2018
46,South Dakota,Lincoln,2019,"86,235",southdakotalincoln2019
46,South Dakota,Lincoln,2020,"86,972",southdakotalincoln2020
46,South Dakota,Lyman,2018,"47,429",southdakotalyman2018
46,South Dakota,Lyman,2019,"47,813",southdakotalyman2019
46,South Dakota,Lyman,2020,"43,531",southdakotalyman2020
46,South Dakota,Marshall,2018,"56,862",southdakotamarshall2018
46,South Dakota,Marshall,2019,"59,103",southdakotamarshall2019
46,South Dakota,Marshall,2020,"56,885",southdakotamarshall2020
46,South Dakota,McCook,2018,"59,913",southdakotamccook2018
46,South Dakota,McCook,2019,"62,535",southdakotamccook2019
46,South Dakota,McCook,2020,"64,693",southdakotamccook2020
46,South Dakota,McPherson,2018,"39,850",southdakotamcpherson2018
46,South Dakota,McPherson,2019,"43,243",southdakotamcpherson2019
46,South Dakota,McPherson,2020,"44,625",southdakotamcpherson2020
46,South Dakota,Meade,2018,"59,524",southdakotameade2018
46,South Dakota,Meade,2019,"59,981",southdakotameade2019
46,South Dakota,Meade,2020,"58,406",southdakotameade2020
46,South Dakota,Mellette,2018,"32,780",southdakotamellette2018
46,South Dakota,Mellette,2019,"36,489",southdakotamellette2019
46,South Dakota,Mellette,2020,"37,844",southdakotamellette2020
46,South Dakota,Miner,2018,"50,123",southdakotaminer2018
46,South Dakota,Miner,2019,"52,230",southdakotaminer2019
46,South Dakota,Miner,2020,"49,824",southdakotaminer2020
46,South Dakota,Minnehaha,2018,"60,033",southdakotaminnehaha2018
46,South Dakota,Minnehaha,2019,"63,162",southdakotaminnehaha2019
46,South Dakota,Minnehaha,2020,"64,526",southdakotaminnehaha2020
46,South Dakota,Moody,2018,"57,392",southdakotamoody2018
46,South Dakota,Moody,2019,"61,029",southdakotamoody2019
46,South Dakota,Moody,2020,"73,264",southdakotamoody2020
46,South Dakota,Pennington,2018,"58,738",southdakotapennington2018
46,South Dakota,Pennington,2019,"58,919",southdakotapennington2019
46,South Dakota,Pennington,2020,"62,214",southdakotapennington2020
46,South Dakota,Perkins,2018,"55,626",southdakotaperkins2018
46,South Dakota,Perkins,2019,"49,999",southdakotaperkins2019
46,South Dakota,Perkins,2020,"46,786",southdakotaperkins2020
46,South Dakota,Potter,2018,"54,722",southdakotapotter2018
46,South Dakota,Potter,2019,"58,012",southdakotapotter2019
46,South Dakota,Potter,2020,"57,324",southdakotapotter2020
46,South Dakota,Roberts,2018,"44,709",southdakotaroberts2018
46,South Dakota,Roberts,2019,"49,088",southdakotaroberts2019
46,South Dakota,Roberts,2020,"50,673",southdakotaroberts2020
46,South Dakota,Sanborn,2018,"54,874",southdakotasanborn2018
46,South Dakota,Sanborn,2019,"56,507",southdakotasanborn2019
46,South Dakota,Sanborn,2020,"51,952",southdakotasanborn2020
46,South Dakota,Shannon,2018,"31,662",southdakotashannon2018
46,South Dakota,Shannon,2019,"34,078",southdakotashannon2019
46,South Dakota,Shannon,2020,"32,195",southdakotashannon2020
46,South Dakota,Spink,2018,"50,590",southdakotaspink2018
46,South Dakota,Spink,2019,"54,666",southdakotaspink2019
46,South Dakota,Spink,2020,"53,282",southdakotaspink2020
46,South Dakota,Stanley,2018,"69,991",southdakotastanley2018
46,South Dakota,Stanley,2019,"70,472",southdakotastanley2019
46,South Dakota,Stanley,2020,"76,413",southdakotastanley2020
46,South Dakota,Sully,2018,"59,457",southdakotasully2018
46,South Dakota,Sully,2019,"61,791",southdakotasully2019
46,South Dakota,Sully,2020,"59,157",southdakotasully2020
46,South Dakota,Todd,2018,"31,876",southdakotatodd2018
46,South Dakota,Todd,2019,"34,015",southdakotatodd2019
46,South Dakota,Todd,2020,"31,256",southdakotatodd2020
46,South Dakota,Tripp,2018,"45,710",southdakotatripp2018
46,South Dakota,Tripp,2019,"50,503",southdakotatripp2019
46,South Dakota,Tripp,2020,"46,162",southdakotatripp2020
46,South Dakota,Turner,2018,"62,792",southdakotaturner2018
46,South Dakota,Turner,2019,"63,852",southdakotaturner2019
46,South Dakota,Turner,2020,"62,754",southdakotaturner2020
46,South Dakota,Union,2018,"80,698",southdakotaunion2018
46,South Dakota,Union,2019,"83,910",southdakotaunion2019
46,South Dakota,Union,2020,"82,574",southdakotaunion2020
46,South Dakota,Walworth,2018,"48,394",southdakotawalworth2018
46,South Dakota,Walworth,2019,"51,472",southdakotawalworth2019
46,South Dakota,Walworth,2020,"45,288",southdakotawalworth2020
46,South Dakota,Yankton,2018,"56,535",southdakotayankton2018
46,South Dakota,Yankton,2019,"60,868",southdakotayankton2019
46,South Dakota,Yankton,2020,"57,075",southdakotayankton2020
46,South Dakota,Ziebach,2018,"32,341",southdakotaziebach2018
46,South Dakota,Ziebach,2019,"33,508",southdakotaziebach2019
46,South Dakota,Ziebach,2020,"31,599",southdakotaziebach2020
